zafra,azucar_producida_total,cana_molida_neta,superficie_cosechada,rendimiento
2014-2015,85410542.007,753945819.441,10822998.295,10.77028283890516
2015-2016,82887705.235,735516547.829,10255856.525,10.612333488387748
2016-2017,74249808.402,656611484.3917,9494669.511755,inf
2017-2018,82152577.098,678340327.1749,10292127.7901063,inf
2018-2019,77587954.2501,656197781.0645,9452084.29172,inf
2019-2020,58838523.9049,516924964.296,8265153.42,inf
2020-2021,72425531.0316,611873261.986,9602616.067146,inf
2021-2022,84059572.9311,699584171.093,10594594.160293,inf
2022-2023,65041867.2526,564000235.4785,9488355.456375,inf
2023-2024,58561282.8196,548367728.058,9023644.542705,inf
2024-2025,56375650.2984,516336579.84,8378236.411691,inf
